geo,ref_date,age_band,unemployment_rate,employment_rate,participation_rate,age_group_raw,note
Alberta,1976-05,Core (25-54),2.7,74.4,76.4,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-05,Older (55+),3.1,37.2,38.4,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-05,Youth (15-24),7.4,66.6,72.0,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-06,All (15+),3.8,64.8,67.4,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-06,Core (25-54),2.3,74.6,76.4,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-06,Older (55+),2.5,37.1,38.0,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-06,Youth (15-24),7.2,66.0,71.1,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-07,All (15+),3.7,64.7,67.2,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-07,Core (25-54),2.3,75.3,77.0,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-07,Older (55+),2.9,35.4,36.5,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-07,Youth (15-24),6.7,65.6,70.3,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-08,All (15+),3.7,64.5,67.0,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-08,Core (25-54),1.8,75.2,76.5,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-08,Older (55+),2.3,35.7,36.6,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-08,Youth (15-24),7.7,65.0,70.5,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-09,All (15+),3.8,65.3,67.8,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-09,Core (25-54),2.6,74.7,76.7,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-09,Older (55+),2.5,35.6,36.5,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-09,Youth (15-24),6.5,68.4,73.1,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-10,All (15+),4.0,64.6,67.3,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-10,Core (25-54),2.6,74.5,76.5,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-10,Older (55+),1.8,36.2,36.9,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-10,Youth (15-24),7.5,65.9,71.2,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-11,All (15+),4.0,65.0,67.8,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-11,Core (25-54),2.9,75.2,77.4,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-11,Older (55+),,35.9,36.2,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-11,Youth (15-24),7.4,66.5,71.8,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-12,All (15+),4.2,64.9,67.7,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-12,Core (25-54),2.8,74.9,77.1,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-12,Older (55+),1.9,35.6,36.3,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-12,Youth (15-24),7.7,66.5,72.0,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-01,All (15+),4.6,65.0,68.1,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-01,Core (25-54),2.9,74.8,77.1,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-01,Older (55+),2.5,36.2,37.0,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-01,Youth (15-24),8.5,66.8,73.0,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-02,All (15+),4.3,65.0,68.0,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-02,Core (25-54),2.5,75.4,77.3,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-02,Older (55+),2.9,35.1,36.2,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-02,Youth (15-24),8.1,66.6,72.5,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-03,All (15+),4.6,64.3,67.4,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-03,Core (25-54),2.9,75.2,77.5,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-03,Older (55+),2.5,34.3,35.2,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-03,Youth (15-24),8.7,64.7,70.9,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-04,All (15+),4.0,65.2,68.0,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-04,Core (25-54),2.7,75.9,78.0,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-04,Older (55+),2.3,34.0,34.8,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-04,Youth (15-24),7.1,67.0,72.1,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-05,All (15+),4.5,64.5,67.6,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-05,Core (25-54),2.9,75.4,77.6,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-05,Older (55+),2.1,34.1,34.9,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-05,Youth (15-24),8.3,65.5,71.5,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-06,All (15+),4.1,64.6,67.4,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-06,Core (25-54),2.7,75.2,77.3,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-06,Older (55+),2.1,34.1,34.8,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-06,Youth (15-24),7.6,65.9,71.3,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-07,All (15+),4.3,64.3,67.2,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-07,Core (25-54),2.7,74.8,76.9,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-07,Older (55+),1.8,34.3,34.9,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-07,Youth (15-24),8.2,65.5,71.3,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-08,All (15+),4.3,64.5,67.4,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-08,Core (25-54),3.0,74.6,76.9,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-08,Older (55+),2.5,35.0,35.9,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-08,Youth (15-24),7.5,65.9,71.2,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-09,All (15+),4.5,64.7,67.7,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-09,Core (25-54),2.9,75.0,77.3,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-09,Older (55+),3.6,33.7,35.0,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-09,Youth (15-24),7.8,66.6,72.2,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-10,All (15+),4.6,64.6,67.7,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-10,Core (25-54),2.9,75.2,77.4,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-10,Older (55+),1.8,34.0,34.7,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-10,Youth (15-24),8.5,65.9,72.0,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-11,All (15+),5.0,64.3,67.7,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-11,Core (25-54),3.9,74.5,77.5,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-11,Older (55+),2.0,33.8,34.4,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-11,Youth (15-24),7.9,66.2,71.9,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-12,All (15+),4.9,64.6,67.9,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-12,Core (25-54),3.4,75.3,78.0,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-12,Older (55+),2.6,33.2,34.1,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1977-12,Youth (15-24),8.5,66.1,72.2,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-01,All (15+),4.7,64.5,67.7,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-01,Core (25-54),3.5,75.5,78.2,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-01,Older (55+),2.4,32.8,33.6,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-01,Youth (15-24),7.8,65.8,71.3,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-02,All (15+),5.0,64.6,68.0,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-02,Core (25-54),3.7,75.5,78.4,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-02,Older (55+),2.5,33.0,33.9,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-02,Youth (15-24),8.2,66.0,71.9,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-03,All (15+),4.9,64.7,68.1,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-03,Core (25-54),3.8,75.3,78.2,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-03,Older (55+),1.7,33.4,34.1,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-03,Youth (15-24),7.9,66.4,72.1,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-04,All (15+),4.7,65.3,68.5,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-04,Core (25-54),3.5,75.9,78.6,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-04,Older (55+),1.8,33.9,34.5,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-04,Youth (15-24),7.9,66.9,72.6,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-05,All (15+),4.7,65.4,68.6,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-05,Core (25-54),3.2,75.6,78.1,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-05,Older (55+),2.4,34.5,35.3,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-05,Youth (15-24),8.1,67.2,73.1,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-06,All (15+),4.7,65.5,68.7,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-06,Core (25-54),3.5,75.9,78.6,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-06,Older (55+),1.9,34.7,35.4,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-06,Youth (15-24),7.9,67.1,72.8,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-07,All (15+),4.6,65.7,68.9,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-07,Core (25-54),3.2,76.4,78.9,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-07,Older (55+),2.0,34.9,35.7,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-07,Youth (15-24),8.1,66.7,72.6,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-08,All (15+),4.8,65.6,68.9,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-08,Core (25-54),3.5,76.1,78.9,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-08,Older (55+),2.5,35.0,35.9,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-08,Youth (15-24),8.0,66.7,72.4,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-09,All (15+),5.1,65.4,68.9,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-09,Core (25-54),3.3,76.3,79.0,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-09,Older (55+),2.2,35.3,36.1,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-09,Youth (15-24),9.3,65.4,72.1,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-10,All (15+),4.9,65.7,69.0,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-10,Core (25-54),3.5,76.6,79.4,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-10,Older (55+),2.9,35.0,36.1,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-10,Youth (15-24),8.1,65.9,71.8,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-11,All (15+),4.6,65.6,68.8,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-11,Core (25-54),2.8,76.9,79.2,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-11,Older (55+),3.0,34.7,35.7,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-11,Youth (15-24),8.5,65.5,71.6,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-12,All (15+),4.3,66.1,69.0,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-12,Core (25-54),2.9,77.3,79.6,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-12,Older (55+),2.5,35.3,36.2,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1978-12,Youth (15-24),7.5,65.9,71.2,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-01,All (15+),4.1,66.6,69.5,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-01,Core (25-54),3.0,77.2,79.6,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-01,Older (55+),2.3,35.8,36.6,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-01,Youth (15-24),6.9,67.4,72.4,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-02,All (15+),4.4,65.9,69.0,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-02,Core (25-54),3.3,76.7,79.3,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-02,Older (55+),2.4,34.8,35.6,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-02,Youth (15-24),7.2,66.8,72.0,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-03,All (15+),3.9,66.7,69.5,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-03,Core (25-54),2.8,77.4,79.6,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-03,Older (55+),3.0,34.5,35.6,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-03,Youth (15-24),6.4,68.3,73.0,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-04,All (15+),4.4,66.3,69.3,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-04,Core (25-54),3.1,77.1,79.5,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-04,Older (55+),2.9,34.2,35.2,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-04,Youth (15-24),7.3,67.6,72.9,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-05,All (15+),4.0,66.9,69.7,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-05,Core (25-54),2.8,77.8,80.1,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-05,Older (55+),2.8,33.9,34.8,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-05,Youth (15-24),6.8,68.3,73.3,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-06,All (15+),4.0,67.0,69.7,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-06,Core (25-54),2.9,77.3,79.6,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-06,Older (55+),1.7,34.4,35.0,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-06,Youth (15-24),6.7,69.3,74.2,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-07,All (15+),3.8,67.4,70.0,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1979-07,Core (25-54),2.9,77.5,79.8,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
